	SF2	SF3	SF12	SF14	SF17	SF20	SF21	SF24	SF25	SF26
1935037_Aminopeptidase_YpdE	0	0	0	0	0.2	0	0.057142857	0	0	0
2502849_Molybdenum_cofactor_cytidylyltransferase	0	0	0	0	0.178571429	0.041666667	0.079545455	0	0	0
2786268_Ribosomal_RNA_large_subunit_methyltransferase_G	0	0	0	0	0.157894737	0	0	0	1	1
3286616_putative_protein	0	0	0	0	0.133333333	0	0	0	0.023255814	0.013333333
3290851_3-keto-L-gulonate-6-phosphate_decarboxylase_SgbH	0	0	0	0	0.096774194	0	0	0	0	0
3290971_3-keto-L-gulonate-6-phosphate_decarboxylase_SgbH	0	0	0	0	0.096774194	0	0	0	0	0
3290980_3-keto-L-gulonate-6-phosphate_decarboxylase_SgbH	0	0	0	0	0.121212121	1	1	1	0	0
3291094_3-keto-L-gulonate-6-phosphate_decarboxylase_SgbH	0	0	0	0	0.111111111	0	0	0	0	0
3291154_3-keto-L-gulonate-6-phosphate_decarboxylase_SgbH	0	0	0	0	0.363636364	0	0	0	0	0
3988846_Biodegradative_arginine_decarboxylase	0	0	0	0	0.304347826	0	0	0	0	0
4621745_DNA_polymerase_IV	0	0	0	0	0.294117647	1	1	0	0	0
4621865_DNA_polymerase_IV	0	0	0	0	0	0	0	0	0	0
4621883_DNA_polymerase_IV	0	0	0	0	0.043478261	0	0	0	0	0
4622165_Chemotaxis_protein_LafU	0	0	0	0	0.103448276	0	0	0	0	0
349269_Bifunctional_protein_PutA	0	0	0	0	0	0	0	0	0	0
1834942_Erythronate-4-phosphate_dehydrogenase	0	0	0	0	0	0.4	0	0	0	0
1834944_Erythronate-4-phosphate_dehydrogenase	0	0	0	0	0	0.285714286	0	0	0	0
2786191_Ribosomal_RNA_large_subunit_methyltransferase_G	0	0	0	0	0	0.25	0.272727273	0	0	0
3443816_HTH-type_transcriptional_activator_RhaR	0	0	0	0	0	0	0.00990099	0	0	0
4937978_tRNA_2-selenouridine_synthase	0	0	0	0	0	0.012345679	0.013333333	1	0	0
1748302_Protein_InaA	0	0	0	0	0	0	0	0	0	0
1748305_Protein_InaA	0	0	0	0	0	0	0	0	0	0
