	SF2	SF3	SF12	SF14	SF17	SF20	SF21	SF24	SF25	SF26
4599948_Flagellar_basal_body_rod_protein_FlgB	0.053140097	0.044568245	0	0	0	0	0	0	0	0
4600078_Flagellar_basal_body_rod_protein_FlgB	0.008888889	0.008547009	0	0	0.363636364	0	0	0	0	0
4600141_Flagellar_basal_body_rod_protein_FlgB	0.009389671	0.006711409	0	0	0	0	0	0	0	0
4600330_Flagellar_basal_body_rod_protein_FlgB	0.075555556	0.039855072	0	0	0	0	0	0	0	0
4600573_Flagellar_basal_body_rod_protein_FlgB	0.066666667	0.038869258	0	0	0	0	0	0	0	0
4600594_Flagellar_basal_body_rod_protein_FlgB	0.052631579	0.022058824	0	0	0	0	0	0	0	0
4621568_DNA_polymerase_IV	0	0	0	0	0	0	0	0	0	0
4621745_DNA_polymerase_IV	0	0	0	0	0.294117647	1	1	0	0	0
4621802_DNA_polymerase_IV	0	0	0.000393082	0	0.086956522	0	0	0	0.012468828	0.057142857
4621865_DNA_polymerase_IV	0	0	0	0	0	0	0	0	0	0
4621883_DNA_polymerase_IV	0	0	0	0	0.043478261	0.003558719	0	0	0	0
4621943_DNA_polymerase_IV	0	0	0	0	0.111111111	0	0	0	0.247572816	0.393617021
4622063_DNA_polymerase_IV	0.470833333	0.440233236	0	0	0.1875	0	0	0	0.010638298	0.008403361
4622075_DNA_polymerase_IV	0.485477178	0.443076923	0.000360231	1	0.448275862	0	0	0	0	0
4622165_Chemotaxis_protein_LafU	0	0	0	0	0.103448276	0.00243309	0	0	0	0
4927049_Inner_membrane_protein_YbbJ	0	0	0	0	0	0	0	0	0.286746988	0.444444444
4937100_tRNA_2-selenouridine_synthase	0.482758621	0.30952381	0	0	0	0.011235955	0	0	0.0625	0
4937156_tRNA_2-selenouridine_synthase	0.150943396	0.086419753	0	0	0.16	0	0	0	0	0
4937308_Ureidoglycolate_lyase	1	1	0	0	0.125	0.031390135	0.0625	1	0	0
4937569_tRNA_2-selenouridine_synthase	0.478494624	0.476038339	0	0	0.136363636	0	0	0	0.01025641	0.024691358
4937660_Ureidoglycolate_lyase	0	0	0.000632911	0	0	0	0	0	0	0
4937672_Ureidoglycolate_lyase	0.496815287	0.483606557	0	0	0	0	0	0	0.014354067	0.024390244
4937866_Ureidoglycolate_lyase	0.044334975	0.046583851	0	0	0.111111111	0	0	0	0	0
4937882_tRNA_2-selenouridine_synthase	0.02734375	0.041237113	0	0	0.107142857	0	0	0	0	0
4937978_tRNA_2-selenouridine_synthase	0	0	0	0	0	0.027918782	0.012658228	1	0	0
4938113_Ureidoglycolate_lyase	0	0	0	0	0.103448276	0	0	0	0.033653846	0.017241379
5136675_Dipeptide_permease_D	0.057268722	0.025316456	0	0	0.3	1	1	0	0	0
5136735_Endonuclease_8	0.050458716	0	1	1	0.260869565	0	0	0	0.024896266	1
5136858_Dipeptide_permease_D	0.052380952	0.038461538	0	0	0.444444444	0.04735376	0.054054054	0	0	0
5136891_Endonuclease_8	0	0.003225806	0	0	0.052631579	0.002645503	0	0	0	0
5136898_Dipeptide_permease_D	0	0	0	0	0.047619048	0	0	0	0	0
5136948_Dipeptide_permease_D	0	0	0	0	0	0	0	0	0	0
5137011_Dipeptide_permease_D	0	0	0	0	0.318181818	0	0	0	0	0
