	SF2	SF3	SF9	SF10	SF20	SF21	SF23	SF25	SF26	SF2subset	SF3subset	SF9subset	SF10subset	SF20subset	SF21subset	SF23subset	SF25subset	SF26subset
2761093_Multidrug_export_protein_EmrA	0	0	0	0	1	0.034482759	0	0	0	0	0	0	0	0.096774194	0	0	0	0
2763481_3-oxoacyl-[acyl-carrier-protein]_synthase_2	0	0	1	1	1	0	0	0	0	0	0	0	0	0.117647059	0.0625	0	0	0
2763565_3-oxoacyl-[acyl-carrier-protein]_synthase_2	0	0	0.364548495	0.355855856	0.3125	0	0	0	0	0	0	0	0	0.028571429	0.058823529	0	0	0
2764012_3-oxoacyl-[acyl-carrier-protein]_synthase_2	0	0	0	0	0.149253731	0.191176471	0	0	0	0	0	0	0	0.076923077	0.125	0	0	0
2764133_3-oxoacyl-[acyl-carrier-protein]_synthase_2	0	0	0	0.000493827	0.231404959	0.426229508	0	0	0	1	1	0	0	0	0.142857143	0	0	0
2783868_hypothetical_protein	0	0	0	0	0.146551724	0.181818182	0	0	0	0	0	0	0	0.1	0.117647059	0	0	0
2783918_hypothetical_protein	0	0	0	0	0.146341463	0.237288136	0	0	0	0	0	0	0	0	0	0	0	0
2783979_hypothetical_protein	0	0	0	0	0.22	0.465517241	0	0	0	0	0	0	0	0.137931034	0.203125	0	0	0
2784284_hypothetical_protein	1	0.00952381	1	0.01	0	0	0	0	0	1	1	0	0	0	0	0	0	0
2788419_hypothetical_protein	0	0	1	1	0	0	0	0	0	0	0	0.117647059	0.214285714	0	0.125	0	0	0
2788424_hypothetical_protein	0	0	1	1	0	0	0	0	0	0	0	0.125	0.272727273	0	0	0	0	0
2788428_hypothetical_protein	0	0	1	0.071428571	0	0	0	0	0	0	0	0.133333333	0.384615385	0.357142857	0.230769231	0	0	0
2788442_hypothetical_protein	0	0	1	1	0	0	0	0	0	0	0	0.285714286	0.466666667	0.473684211	0.416666667	0	0	0
2807844_Gamma-glutamyl-L-1-hydroxyisopropylamide_hydrolase	0	0	0	0	0.173469388	0.384615385	0	0	0	0	0	0	0	0.092592593	0.481481481	0	0	0
2807929_Gamma-glutamyl-L-1-hydroxyisopropylamide_hydrolase	0	0	0	0	0.11827957	0.274193548	0	0.20754717	0	0	0	0	0	0.204081633	0.375	0	0.20754717	0
2808246_Gamma-glutamyl-L-1-hydroxyisopropylamide_hydrolase	0	0	0	0	0.063157895	0.354166667	0	0.05	0	0	0	0	0	0.193548387	0.24	0	0.05	0
2808306_Gamma-glutamyl-L-1-hydroxyisopropylamide_hydrolase	0	0	0.381642512	0.346273292	0.441176471	0.476190476	0	0	0	0	0	1	1	0	0	0	0	0
2829183_putative_oxidoreductase_YghA	0	0	0	0	0.272727273	0.269230769	0	0	0	0	0	0	0	0	0	0	0	0
2829196_putative_oxidoreductase_YghA	0	0	0	0	0.275	0.344827586	0	0	0	1	1	1	0	0	1	0	0	0
2829348_putative_oxidoreductase_YghA	0	0	0	0	0.144144144	0.063829787	0	0	0	0	0	0	0	0.368421053	0.346153846	0	0	0
2834502_hypothetical_protein	1	1	0	0	0	0	0	0	0	0	0	0	0	0.25	0.37037037	0	0	0
2834549_hypothetical_protein	0	0	1	1	0	0	0	0	0	0	0	0.035714286	1	0	0	0	0	0
2834558_hypothetical_protein	0	0	0.090909091	0.204819277	0	0	0	0	0	0	0	1	1	0	0	0	0	0
2834591_hypothetical_protein	1	1	0	0	0	0	0	0	0	0	0	0	0	0.307692308	0.25	0	0	0
2834606_hypothetical_protein	0	0.000475285	0	0.000543183	0	0	0	0	0	0	0	0	0	0.428571429	0.222222222	0	0	0
2834787_hypothetical_protein	0.001192606	0	0.000771605	0	0.150943396	0.127272727	0	0	0	0	0	0	0	0.4	0	0	0	0
2834811_hypothetical_protein	0	0.000516529	0.000824402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2885772_Glutathione_S-transferase_GST-6.0	0	0	0	0	0	0	1	0.266666667	0	0	0	0	0	0	0	1	0.266666667	0
2901566_N-substituted_formamide_deformylase	0	0	0	0	0.18556701	0.326530612	0	0	0	0	0	0	0	0.19047619	0.116666667	0	0	0
2902297_N-substituted_formamide_deformylase	0.09976247	0.109022556	0.113772455	0.115226337	0	0.142857143	0	0	0	0.08	0	0.086956522	0	0.148148148	0.095238095	0	0	0
2902299_N-substituted_formamide_deformylase	0.134328358	0	0.111445783	0.105906314	0.193548387	0	0	0	0	0.111111111	0.054054054	0.090909091	0.105263158	0.08	0.086956522	0	0	0
2902304_N-substituted_formamide_deformylase	0	0	0	0	0.054545455	0.153846154	1	0	0	0	0	0	0	0	0.083333333	1	0	0
2902327_N-substituted_formamide_deformylase	0.001490313	0.000556174	0	0	0.068181818	0.186046512	0	0.157894737	0	0.222222222	0.111111111	0.230769231	0	0	0.15	0	0.157894737	0
2902329_N-substituted_formamide_deformylase	0	0	0	0	0.069767442	0.157894737	0	0.153846154	0	0.166666667	0.266666667	0.3	0	0.1	0.210526316	0	0.153846154	0
2902397_N-substituted_formamide_deformylase	0	0	0	0	0.15	0.156862745	0	0	0	0	0	0	0	0.078947368	0.2	0	0	0
2902439_N-substituted_formamide_deformylase	0.00066313	0.000487567	0	0	0	0	0	0	0	0	0	0	0	0.093023256	0.210526316	0	0	0
2902457_N-substituted_formamide_deformylase	0	0	0	0	0.121495327	0.241935484	0	0.166666667	0	1	1	0	0	0.073170732	0.205128205	0	0.166666667	0
2903156_N-substituted_formamide_deformylase	0	0	0	0	0	0	1	0.19047619	0	0	0	0	0	0	0	1	0.19047619	0
3010260_Oligopeptide_transport_ATP-binding_protein_OppF	0	0	0	0.00147167	0.283950617	0.292682927	0	0	0	0	0	1	1	0	0	0	0	0
3010702_Oligopeptide_transport_ATP-binding_protein_OppF	0.12972973	0.0625	0	0	0	0	0	0	0	0	0	0	0	0.09375	0.2	0	0	0
3010845_Oligopeptide_transport_ATP-binding_protein_OppF	0	0	0	0	0.27027027	0.317460317	0	0	0	0	0	0	0	0.148148148	0.206896552	0	0	0
3066278_hypothetical_protein	0	0	0	0	0.156862745	0.088888889	0	0	0	0	0	0	0	0.132075472	0	0	0	0
3066306_hypothetical_protein	0	0	0.103383459	0.123659757	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3066309_hypothetical_protein	0	0	0.124067164	0.146666667	0	0	0	0	0	0	0	0	0.222222222	0	0	0	0	0
3086170_putative_siderophore_transport_system_permease_protein_YfiZ	0.082304527	0.095679012	0.166666667	0.162942272	0	0	0.125	0.107142857	0	1	1	0	0	0.431818182	0.407407407	0.125	0.107142857	0
3086273_putative_siderophore_transport_system_permease_protein_YfiZ	0	0.000419639	0	0	0	0	0	0.112903226	0	0.222222222	0	0.08	0	0	0	0	0.112903226	0
3086783_putative_siderophore_transport_system_permease_protein_YfiZ	0	0	0.453125	0.234042553	0	0	0	0	0	0	0	0	0	0.180327869	0.064516129	0	0	0
3243412_Ribosome-binding_ATPase_YchF	1	0.001240182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3244110_Ribosome-binding_ATPase_YchF	1	1	0.337735849	0.332317073	1	1	0.015151515	0.213114754	0	0	0	0	0	0	0	0.015151515	0.213114754	0
3246014_hypothetical_protein	1	1	0	0	0.103448276	0.090909091	0	0	0	1	1	0	0	0.125	0.102040816	0	0	0
3246101_hypothetical_protein	0	0	0	0	0.129032258	0.08	0	0	0	1	1	0	0	0	0	0	0	0
3246479_hypothetical_protein	0	0	0.24435591	0.227195946	0	0	0	0	0	0	0	0.191489362	0.054054054	0	0	0	0	0
3246692_hypothetical_protein	0	0	0	0	0	0	0.216216216	0.142857143	0	0	0	0	0	0.08	0.02	0.216216216	0.142857143	0
3246865_hypothetical_protein	0	0	0	0	0.230088496	0.327586207	1	0.234042553	0	0	0	0	0	0.368421053	0.288135593	1	0.234042553	0
3256624_hypothetical_protein	1	1	0	0	1	0	0	0	0	0	0	0	0	0.15	0.307692308	0	0	0
3256651_hypothetical_protein	1	1	0	0	0	0	0	0	0	0	1	0	0	0.1	0.083333333	0	0	0
3260959_Hercynine_oxygenase	0	0	0.404929577	0.368344274	0	0	0.424242424	0.2	0	0	0	0	0	0	0	0.424242424	0.2	0
3260968_Hercynine_oxygenase	0	0	0.404029692	0.376734964	0	0	0.315789474	0.192307692	0	0	0	0	0	0	0	0.315789474	0.192307692	0
3260978_Hercynine_oxygenase	0	0	0.172413793	0.225806452	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3261148_Hercynine_oxygenase	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3261196_Hercynine_oxygenase	0	0	1	1	0	0	0	0	0	0	0	0.314285714	0.137931034	0	0	0	0	0
3262769_hypothetical_protein	1	1	0	0	0	0	0	0	0	1	1	0	0	1	0.0625	0	0	0
3262856_hypothetical_protein	0.001497006	0.001117318	0	0	0.333333333	0	0	0	0	1	1	0	0	0	0.2	0	0	0
3262859_hypothetical_protein	0.000855432	0	0	0	0.326923077	0.285714286	0	0	0	1	1	0	0	0	0	0	0	0
3262942_hypothetical_protein	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3262945_hypothetical_protein	0	0	0	0	0	0	0.027777778	0.3125	0	0	0	0	0	0	0	0.027777778	0.3125	0
3262979_hypothetical_protein	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0
3263012_hypothetical_protein	1	1	1	1	0	0	0	0	0	1	1	1	1	0.285714286	0	0	0	0
3263054_hypothetical_protein	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
3263715_hypothetical_protein	0	0	0	0	1	1	1	1	0	0	0	0	0	0.25	0.1	1	1	0
3272457_Actin_cross-linking_toxin_VgrG1	0	0	0	0	0.222222222	0.106382979	0	0.212121212	0	0	0	0	0	0.288461538	0.321428571	0	0.212121212	0
3272609_Actin_cross-linking_toxin_VgrG1	1	1	0	0	0.145038168	0.235294118	0	0	0	0.217391304	0.210526316	0	0	0.272727273	0.235294118	0	0	0
3272965_Actin_cross-linking_toxin_VgrG1	0	0	0	0	0.34	0.327586207	0	0	0	0	0	0	0	1	1	0	0	0
3273190_Actin_cross-linking_toxin_VgrG1	1	0.000443656	0	0	1	1	1	1	0	0	0	0	0	0	0	1	1	0
3276998_hypothetical_protein	0	0	0	0	0.173913043	0.122807018	0	0	0	0	0	0	0	0.12962963	0.309090909	0	0	0
3277214_hypothetical_protein	0	0	0	0	0.2	0.228070175	0	0	0	0	0	0	0	0.131147541	0.125	0	0	0
3277512_hypothetical_protein	0	0	0	0	0.121212121	0.06	0	0	0	0	0	0	0	0.175438596	0.236363636	0	0	0
3277577_hypothetical_protein	0	0	0	0	0.122641509	0.111111111	0	0.023809524	0	0	0	0	0	0	0.159090909	0	0.023809524	0
3338395_putative_cyclic_di-GMP_phosphodiesterase_PdeD	0	0	0	0	1	1	0	0.375	0	0	0	0	0	0.106382979	0.0625	0	0.375	0
3338657_putative_cyclic_di-GMP_phosphodiesterase_PdeD	0.001221001	0	0.001319261	0	0	0	0	0	0	0	0	0	0	0.131578947	0.102564103	0	0	0
3338660_putative_cyclic_di-GMP_phosphodiesterase_PdeD	0	0	1	0.000365898	0	0	0	0	0	0	0	1	1	0	0	0	0	0
3338800_putative_cyclic_di-GMP_phosphodiesterase_PdeD	0	0	0	0	0.351351351	0.142857143	0	0	0	0	0	0	0	0.022222222	0.098039216	0	0	0
3339070_putative_cyclic_di-GMP_phosphodiesterase_PdeD	0	0	0.000928505	1	0	0.108695652	0	0.095238095	0	0	0	1	1	0	0	0	0.095238095	0
3339632_putative_cyclic_di-GMP_phosphodiesterase_PdeD	0	0	0.00059453	0.000543478	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3339730_putative_cyclic_di-GMP_phosphodiesterase_PdeD	0	0	0	0.000375657	0	0	0	0.106060606	0	0	0	0	0.076923077	0.081081081	0	0	0.106060606	0
3708234_Outer_membrane_protein_C	0	0	0	0	0.072164948	0.037037037	0	0	0	0	0	0	0	0.134615385	0.355555556	0	0	0
3708246_Outer_membrane_protein_C	1	0.000418235	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0
3708366_Outer_membrane_protein_C	0	0.000349895	0	0.000426439	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3708647_Outer_membrane_protein_C	0.159763314	0.182492582	0.136655949	0.166666667	0.162162162	0	0	0	0	0	0	0	0	0	0	0	0	0
3742920_2-succinyl-6-hydroxy-2%2C4-cyclohexadiene-1-carboxylate_synthase	0	0	0	0	0.284482759	0.265306122	0	0	0	0	0	0	0	0.171875	0.157142857	0	0	0
3742991_2-succinyl-6-hydroxy-2%2C4-cyclohexadiene-1-carboxylate_synthase	0.166336634	0.179059181	0.214015152	0.228384992	0.166666667	0	0	0	0	0	0	0	0	0	0	0	0	0
3742993_2-succinyl-6-hydroxy-2%2C4-cyclohexadiene-1-carboxylate_synthase	0.058365759	0.051359517	0.065384615	0.084006462	0	0	0	0	0	1	1	0	0	0	0	0	0	0
4072384_Inner_membrane_protein_YgaP	0	0	0	0	0.121794872	0.118644068	0	0	0	0	0	0	0	0.260273973	0.327272727	0	0	0
4072488_Inner_membrane_protein_YgaP	0	0	0	0	0.140740741	0.095238095	0	0	0	0	0	0	0	0.252873563	0.318181818	0	0	0
4072535_Inner_membrane_protein_YgaP	0	0	0	0	0.135714286	0.180327869	0	0.229508197	0	0	0	0	0	0.0875	0.12962963	0	0.229508197	0
4138649_Formate_hydrogenlyase_transcriptional_activator	0	0.000395883	0.000460193	0	0	0	0	0	0	0.375	0.388888889	0.333333333	0.3125	0.266666667	0.466666667	0	0	0
4138661_Formate_hydrogenlyase_transcriptional_activator	0.000863185	0.00034153	0	0	0	0	0	0.131578947	0	0	0	0.217391304	0	0	0	0	0.131578947	0
4139290_Formate_hydrogenlyase_transcriptional_activator	0	0	0	0	0.161290323	0.132352941	0	0.177419355	0	0	0	0	0	0.109375	0.1	0	0.177419355	0
4139344_Formate_hydrogenlyase_transcriptional_activator	0	0	0	0	0.124087591	0.059701493	0	0.181818182	0	0	0	0	0	0.125	0.172413793	0	0.181818182	0
4139608_Formate_hydrogenlyase_transcriptional_activator	0	0	0	0	0.071942446	0.083333333	0	0	0	0	0	0	0	0.115942029	0.046875	0	0	0
4139647_Formate_hydrogenlyase_transcriptional_activator	0	0	0	0	0.081481481	0.114285714	0	0	0	0	0	0	0	0.138461538	0.030769231	0	0	0
4149709_Fructokinase	0	0	0	0	0.130434783	0.064935065	0	0	0	0	0	0	0	0.154761905	0.125	0	0	0
4150284_Fructokinase	0.028481013	0.019138756	0	0	0.053333333	0.053571429	0	0	0	1	1	1	1	0.064935065	0.058823529	0	0	0
4280554_Aldehyde-alcohol_dehydrogenase	0	0	0	0	0.122093023	0.1	0	0	0	0	0	0	0	0.326315789	0.273809524	0	0	0
4369856_Protein_FimF	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0
4384182_HTH-type_transcriptional_regulator_PgrR	0	0	0	0	0.175757576	0.097222222	0	0	0	0	0	0.176470588	0.111111111	0	0	0	0	0
4384236_HTH-type_transcriptional_regulator_PgrR	0.000439174	0.000350385	1	1	0.145695364	0.08988764	0	0	0	0	0	0	0	0.09375	0.078947368	0	0	0
4384335_HTH-type_transcriptional_regulator_PgrR	0	0	0.000288018	0.000252398	0	0	0	0	0	0	0	1	1	0	0.12195122	0	0	0
4386002_Glutathione-regulated_potassium-efflux_system_ancillary_protein_KefF	0	0	0	0	0.095808383	0.326086957	0	0	0	0	0	0	0	0.211267606	0.314285714	0	0	0
4386073_Glutathione-regulated_potassium-efflux_system_ancillary_protein_KefF	0	0.00035791	0	0	0.236363636	0.461538462	0	0	0	0	0	0	0	0.2	0.084507042	0	0	0
4387548_hypothetical_protein	0.000527704	0.000373972	0	0	0.260869565	0.467741935	0	0	0	0	0	0	0	0.307692308	0.376623377	0	0	0
4387956_hypothetical_protein	0	0.000285144	0.000253165	0.000469925	0.170040486	0.311320755	0	0	0	0	0	0	0	0.25	0.395833333	0	0	0
4536587_HTH-type_transcriptional_regulator_DmlR	0	0	0	0	0	0	1	0.06779661	0	0	0	0	0	0	0	1	0.06779661	0
4536916_HTH-type_transcriptional_regulator_DmlR	0.00041806	1	0	0	0.149377593	0.132352941	1	0.03125	0	1	1	0	0	0	0	1	0.03125	0
4536937_HTH-type_transcriptional_regulator_DmlR	1	1	0	0	0.124444444	0.147058824	1	0.034782609	0	0	0	0	0	0.297297297	0.492537313	1	0.034782609	0
4536952_HTH-type_transcriptional_regulator_DmlR	0.345360825	0.293478261	0	0	0	0	0	0	0	0	0	0	0	0.25	0.461538462	0	0	0
4537068_HTH-type_transcriptional_regulator_DmlR	0	0	0	0	0.15942029	0.098591549	0	0.166666667	0	0	0	0	0	0.291139241	0.379310345	0	0.166666667	0
5043314_hypothetical_protein	0	0	0	0	0.245714286	0.287356322	1	0.188118812	0	0	0	0	0	0.158878505	0.102564103	1	0.188118812	0
5043450_hypothetical_protein	0	0	0	0	0.117647059	0.05	0	0.055555556	0	0	0	0	0	0.226190476	0.156862745	0	0.055555556	0
5148242_Bifunctional_transcriptional_activator/DNA_repair_enzyme_Ada	0	0	0	0	0.129496403	0.223880597	0	0	0	0	0	0	0	0.072463768	0.212765957	0	0	0
5148736_Bifunctional_transcriptional_activator/DNA_repair_enzyme_Ada	0	0	0	0	0.17218543	0.082191781	1	0.117647059	0	0	0	0	0	0.140350877	0.09375	1	0.117647059	0
5148972_Bifunctional_transcriptional_activator/DNA_repair_enzyme_Ada	0	0	0	0	0.051282051	0.064516129	0	0.393939394	0	0	0	0	0	0.142857143	0.045977011	0	0.393939394	0
5149219_Bifunctional_transcriptional_activator/DNA_repair_enzyme_Ada	0	0	0	0	0.136882129	0.19266055	0	0	0	0	0	0	0	0.186666667	0.084507042	0	0	0
5187510_HTH-type_transcriptional_regulator_CdhR	0	0	0	0	0	0	0	0.129496403	0.227272727	0	0	0	0	0	0	0	0.129496403	0.227272727
5187648_HTH-type_transcriptional_regulator_CdhR	0	0	0	0	0.056701031	0.066666667	0	0	0	0	0	0	0	0.119047619	0.198113208	0	0	0
5187768_HTH-type_transcriptional_regulator_CdhR	0	0	0	0	0.297435897	0.26744186	0	0	0	0	0	1	1	0	0	0	0	0
5187833_HTH-type_transcriptional_regulator_CdhR	0	0	0	0	0.187134503	0.169230769	0	0	0	0	0	0	0	0.058252427	0.056338028	0	0	0
5187895_HTH-type_transcriptional_regulator_CdhR	0	0	0	0	0.269662921	0.170212766	0	0	0	0	0	0	0	0.289156627	0.234375	0	0	0
5187974_HTH-type_transcriptional_regulator_CdhR	0	0	0	0	0.075829384	0.147540984	0	0	0	0	0	0	0	0.151162791	0.174603175	0	0	0
5195831_Multidrug_resistance_protein_3	0	0	0	0	0.051020408	0.140350877	0	0	0	0	0	0	0	0	0.125	0	0	0
5195836_Multidrug_resistance_protein_3	0	0	0	0	0.051546392	0.148148148	0	0	0	0	0	0	0	0	0.125	0	0	0
5195851_Multidrug_resistance_protein_3	0	0	0	0	0.137755102	0.071428571	0	0	0	0	0	0	0	0.050505051	0.137254902	0	0	0
5196184_Multidrug_resistance_protein_3	0.00109529	0	0	0	0.094240838	0.260869565	0	0.202247191	0	0.272727273	0.272727273	0	0	0	0	0	0.202247191	0
5196186_Multidrug_resistance_protein_3	0	0	0	0	0	0	0	0.171428571	0.142857143	0.333333333	0.333333333	0	0	0	0	0	0.171428571	0.142857143
5196190_Multidrug_resistance_protein_3	0	0.4	0	0.291666667	0	0	0	0	0	0.4	0.285714286	0	0	0	0	0	0	0
5196223_Multidrug_resistance_protein_3	0	0	0.143968872	0.116945107	0	0	0.194444444	0	0	0	0	0	0	0	0	0.194444444	0	0
5196241_Multidrug_resistance_protein_3	0	0.050647821	0	0.057377049	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0
